"nocturnal","elephant_zone","camera_id","species","diurnal"
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 17","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 17","Kirk's dik-dik",FALSE
